1|1|GHDGK|7
2|0|HELP9|94
3|2|3VZ7Z|2
4|4|MGY0C|11
5|1|VB3N1|8
6|0|DZERJ|2
7|7|GAVX2|19
8|6|4B3IC|49
9|9|9QK3K|28
10|0|WIF60|53
11|5|BHGJC|98
12|2|9ETF8|34
13|9|QGPH9|98
14|10|4S520|52
15|3|C90LC|84
16|4|PEXIQ|42
17|5|LHC4N|7
18|0|6C89X|63
19|1|EHM9T|22
20|6|T5KBJ|51
21|2|8DPXB|76
22|21|7BFNW|65
23|21|OBEV6|1
24|23|OJFA8|75
25|11|IPACJ|74
26|0|9NC4J|48
27|17|3L3XQ|66
28|25|D6VL0|6
29|7|42RU3|42
30|6|AXPSG|22
31|11|AF1TN|73
32|12|P48DE|61
33|31|H7A1P|92
34|5|6BIR8|4
35|14|QPO4W|96
36|7|TTPU3|7
37|26|PS46T|85
38|24|NXT18|82
39|23|W0NUT|75
40|39|MAIO0|2
41|10|XZW7V|35
42|39|H8FCY|56
43|42|TMZSG|72
44|25|MTQJ3|65
45|21|VRQKK|33
46|32|BGRRS|43
47|36|SW7PH|39
48|8|VI4QL|4
49|46|C5FC3|36
50|27|HSRTQ|65
51|23|AY011|87
52|10|2I9BI|53
53|47|LCKWL|19
54|37|GFZJA|63
55|30|7YS3Z|68
56|22|9U0CW|27
57|1|OYAAX|21
58|45|C0I45|39
59|43|IRLQE|27
60|37|9MO5V|90
61|4|7CRX5|80
62|57|X7MVJ|17
63|7|8FP54|23
64|38|RP8N8|72
65|12|D9TL8|44
66|37|DZUNN|33
67|40|JO81P|81
68|9|XHEBE|75
69|50|J8UOI|76
70|64|89QGY|7
71|47|0P63X|34
72|25|TY7B9|19
73|40|JIB5J|51
74|8|BHAB9|99
75|57|WZNA5|37
76|57|PU19T|23
77|22|8Z267|49
78|57|8R6U5|74
79|34|URVHY|80
80|17|J3T1I|28
81|30|20KAZ|2
82|20|XGQQB|96
83|28|U520I|64
84|1|NGB6A|95
85|5|878C4|7
86|30|Y7SWB|38
87|61|IXE08|82
88|35|XE612|90
89|60|J5D97|89
90|64|ANGFG|99
91|72|XHIFH|18
92|34|VACIB|21
93|69|S2MYZ|50
94|19|ONEV6|41
95|95|TWQTO|37
96|21|VX41B|28
97|17|62SEK|13
98|3|HYQFX|23
99|13|APUYY|32
100|51|ST3WG|94
101|10|QCCXC|28
102|98|7Z9O5|27
103|59|NG7IC|76
104|41|CTC73|1
105|5|PJZS8|51
106|25|40MCZ|51
107|35|NJVJL|80
108|97|9QMBL|15
109|91|FZ41N|65
110|2|VR6X1|39
111|51|ISZPW|45
112|31|MXTYD|42
113|105|RGNW2|82
114|9|BOV0K|83
115|89|RWHX2|76
116|4|SGR9E|56
117|25|9V5PG|68
118|27|49Z8O|41
119|7|K8FBT|4
120|96|J8DO3|93
121|93|JL0ZI|95
122|63|AFE93|27
123|56|H7FJT|88
124|46|5UBIA|88
125|57|8JZYP|64
126|93|VWSLP|44
127|49|1TUQ7|17
128|79|O7YLG|82
129|83|S8ZXR|71
130|54|VD1BD|20
131|52|YOAUL|67
132|81|L54VG|7
133|94|4PSXM|35
134|124|NTF64|45
135|134|F4HHL|78
136|26|QBPHX|55
137|113|85UMK|9
138|16|68HCH|94
139|43|M5JZX|41
140|83|WPNJ9|26
141|67|UAY8V|69
142|72|WZ3FY|99
143|135|N248S|67
144|19|21A1I|92
145|15|BINY9|60
146|79|DBULR|20
147|62|91DFB|9
148|122|6XILU|98
149|54|4328Q|28
150|5|3W2LM|76
151|94|VMSR0|38
152|84|LHJPV|83
153|82|U0LDG|91
154|7|XKVYC|34
155|46|DXHPI|18
156|112|84TRM|5
157|150|IATM7|23
158|117|3A9Q1|55
159|10|AAQ7B|23
160|152|GEO9M|6
161|138|H63LL|19
162|43|GBPWC|21
163|52|48VP0|46
164|91|O603L|50
165|71|DD53U|66
166|34|C5ZPF|76
167|116|LL5JA|30
168|122|19MLV|83
169|64|84TBG|59
